product_name,product_code
"Live horses, asses, mules and hinnies:",101
Purebred breeding animals,0101.21.00
Males,0101.21.00.10
Females,0101.21.00.20
Other,0101.29.00
Imported for immediate slaughter,0101.29.00.10
Other,0101.29.00.90
Asses,0101.30.00.00
Other:,101.9
Imported for immediate slaughter,0101.90.30.00
Other,0101.90.40.00
Live bovine animals:,102
Purebred breeding animals,0102.21.00
Male,0102.21.00.10
Female,0102.21.00.20
Male,0102.21.00.30
Female,0102.21.00.50
Other:,102.29
Cows imported specially for dairy purposes,0102.29.20
Weighing less than 90 kg each,0102.29.20.11
Weighing 90 kg or more each,0102.29.20.12
Other,0102.29.40
Male,0102.29.40.24
Female,0102.29.40.28
Male,0102.29.40.34
Female,0102.29.40.38
Male,0102.29.40.54
Female,0102.29.40.58
Steers,0102.29.40.62
Bulls,0102.29.40.64
Cows,0102.29.40.66
Heifers,0102.29.40.68
Male,0102.29.40.72
Female,0102.29.40.74
Male,0102.29.40.82
Female,0102.29.40.84
Purebred breeding animals,0102.31.00
Male,0102.31.00.10
Female,0102.31.00.20
Other,0102.39.00
Bison,0102.39.00.10
Male,0102.39.00.24
Female,0102.39.00.28
Male,0102.39.00.34
Female,0102.39.00.38
Male,0102.39.00.54
Female,0102.39.00.58
For immediate slaughter,0102.39.00.61
Male,0102.39.00.72
Female,0102.39.00.74
Male,0102.39.00.82
Female,0102.39.00.84
Other,0102.90.00.00
Live swine:,103
Purebred breeding animals,0103.10.00.00
Weighing less than 50 kg each,0103.91.00
Weighing less than 7 kg each,0103.91.00.10
Weighing 7 kg or more but less than 23 kg each,0103.91.00.20
Weighing 23 kg or more but less than 50 kg each,0103.91.00.30
Weighing 50 kg or more each,0103.92.00
Imported for immediate slaughter,0103.92.00.10
Breeding animals other than purebred breeding animals,0103.92.00.20
Other,0103.92.00.91
Live sheep and goats:,104
Sheep,0104.10.00.00
Goats,0104.20.00.00
"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:",105
Chickens,0105.11.00
Layer-type (egg-type),0105.11.00.10
Broiler-type (meat-type),0105.11.00.20
Other,0105.11.00.40
Turkeys,0105.12.00.00
Ducks,0105.13.00.00
Geese,0105.14.00.00
Guinea fowls,0105.15.00.00
Chickens,0105.94.00.00
Other,0105.99.00.00
Other live animals:,106
Primates,0106.11.00.00
"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0106.12.01.00
Camels and other camelids (Camelidae),0106.13.00.00
Rabbits and hares,0106.14.00.00
Other:,106.19
Foxes,0106.19.30.00
Other,0106.19.91
Dogs,0106.19.91.20
Other,0106.19.91.95
Reptiles (including snakes and turtles),0106.20.00.00
Birds of prey,0106.31.00.00
"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",0106.32.00.00
Ostriches; emus (Dromaius novaehollandiae),0106.33.00.00
Other,0106.39.01.00
Bees,0106.41.00.00
Other,0106.49.00
Leaf cutter bee larvae,0106.49.00.10
Other,0106.49.00.90
Other,0106.90.01
Worms,0106.90.01.10
Bait (other than worms),0106.90.01.20
Other,0106.90.01.80
"Meat of bovine animals, fresh or chilled:",201
Carcasses and half-carcasses:,201.1
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,0201.10.05
Veal,0201.10.05.10
Other,0201.10.05.90
Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,0201.10.10
Veal,0201.10.10.10
Other,0201.10.10.90
Other,0201.10.50
Veal,0201.10.50.10
Other,0201.10.50.90
Other cuts with bone in:,201.2
High-quality beef cuts,0201.20.02.00
Other,0201.20.04.00
Other,0201.20.06.00
High-quality beef cuts,0201.20.10.00
Other,0201.20.30.00
Other,0201.20.50
Fresh or chilled bone in veal cuts,0201.20.50.15
Rib cuts,0201.20.50.25
Chuck cuts,0201.20.50.35
Loin cuts,0201.20.50.45
Hip cuts,0201.20.50.65
Flank or plate cuts,0201.20.50.75
Other,0201.20.50.91
Other,0201.20.80
Bison,0201.20.80.10
Other,0201.20.80.90
Boneless:,201.3
High-quality beef cuts,0201.30.02.00
Other,0201.30.04.00
Other,0201.30.06.00
High-quality beef cuts,0201.30.10.00
Other,0201.30.30.00
Other,0201.30.50
Fresh or chilled boneless veal cuts,0201.30.50.15
Rib cuts,0201.30.50.25
Chuck cuts,0201.30.50.35
Loin cuts,0201.30.50.45
Brisket cuts,0201.30.50.55
Hip cuts,0201.30.50.65
Flank or plate cuts,0201.30.50.75
Other,0201.30.50.85
Other,0201.30.80
Bison,0201.30.80.10
Other,0201.30.80.90
"Meat of bovine animals, frozen:",202
Carcasses and half-carcasses:,202.1
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,0202.10.05
Veal,0202.10.05.10
Other,0202.10.05.90
Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,0202.10.10
Veal,0202.10.10.10
Other,0202.10.10.90
Other,0202.10.50
Veal,0202.10.50.10
Other,0202.10.50.90
Other cuts with bone in:,202.2
High-quality beef cuts,0202.20.02.00
Other,0202.20.04.00
Other,0202.20.06.00
High-quality beef cuts,0202.20.10.00
Other,0202.20.30.00
Other,0202.20.50
Rib cuts,0202.20.50.25
Chuck cuts,0202.20.50.35
Loin cuts,0202.20.50.45
Other,0202.20.50.90
Other,0202.20.80.00
Boneless:,202.3
High-quality beef cuts,0202.30.02.00
Other,0202.30.04.00
Other,0202.30.06.00
High-quality beef cuts,0202.30.10.00
Other,0202.30.30.00
Other,0202.30.50
Frozen boneless veal cuts,0202.30.50.15
Rib cuts,0202.30.50.25
Chuck cuts,0202.30.50.35
Loin cuts,0202.30.50.45
Brisket cuts,0202.30.50.55
Hip cuts,0202.30.50.65
Flank or plate cuts,0202.30.50.75
Other,0202.30.50.85
Other,0202.30.80.00
"Meat of swine, fresh, chilled, or frozen:",203
Carcasses and half-carcasses,0203.11.00.00
"Hams, shoulders and cuts thereof, with bone in:",203.12
Processed,0203.12.10
Hams and cuts thereof,0203.12.10.10
Shoulders and cuts thereof,0203.12.10.20
Other,0203.12.90
Hams and cuts thereof,0203.12.90.10
Shoulders and cuts thereof,0203.12.90.20
Other:,203.19
Processed,0203.19.20
Spare ribs,0203.19.20.10
Other,0203.19.20.90
Other,0203.19.40
Bellies,0203.19.40.10
Other,0203.19.40.90
Carcasses and half-carcasses,0203.21.00.00
"Hams, shoulders and cuts thereof, with bone in:",203.22
Processed,0203.22.10.00
Other,0203.22.90.00
Other:,203.29
Processed,0203.29.20.00
Other,0203.29.40.00
"Meat of sheep or goats, fresh, chilled or frozen:",204
"Carcasses and half-carcasses of lamb, fresh or chilled",0204.10.00.00
Carcasses and half-carcasses,0204.21.00.00
Other cuts with bone in:,204.22
Lamb,0204.22.20
Shoulders,0204.22.20.10
Legs,0204.22.20.20
Loins,0204.22.20.30
Other,0204.22.20.90
Other,0204.22.40.00
Boneless:,204.23
Lamb,0204.23.20.00
Other,0204.23.40.00
"Carcasses and half-carcasses of lamb, frozen",0204.30.00.00
Carcasses and half-carcasses,0204.41.00.00
Other cuts with bone in:,204.42
Lamb,0204.42.20
Shoulders,0204.42.20.10
Legs,0204.42.20.20
Loins,0204.42.20.30
Other,0204.42.20.90
Other,0204.42.40.00
Boneless:,204.43
Lamb,0204.43.20.00
Other,0204.43.40.00
Meat of goats,0204.50.00.00
"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",0205.00.00.00
"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen:",206
"Of bovine animals, fresh or chilled",0206.10.00.00
Tongues,0206.21.00.00
Livers,0206.22.00.00
Other,0206.29.00.00
"Of swine, fresh or chilled",0206.30.00.00
Livers,0206.41.00.00
Other,0206.49.00.00
"Other, fresh or chilled",0206.80.00.00
"Other, frozen",0206.90.00
Of sheep (including lamb),0206.90.00.20
"Of goats, horses, asses, mules or hinnies",0206.90.00.40
"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen:",207
"Not cut in pieces, fresh or chilled",0207.11.00
"Young (broilers, fryers, roasters and capons)",0207.11.00.20
Other,0207.11.00.40
"Not cut in pieces, frozen",0207.12.00
"Young (broilers, fryers, roasters and capons)",0207.12.00.20
Other,0207.12.00.40
"Cuts and offal, fresh or chilled",0207.13.00.00
"Cuts and offal, frozen",0207.14.00
Livers,0207.14.00.20
Other,0207.14.00.40
"Not cut in pieces, fresh or chilled",0207.24.00.00
"Not cut in pieces, frozen:",207.25
Valued less than 88¢/kg,0207.25.20.00
